parameter,label,ESS_chain_0,ESS_chain_1,ESS_chain_2,ESS_chain_3,ESS_mean,Rhat
alpha,$\alpha$,244.87719288204096,261.8871409924891,345.8557920908225,372.04295785698724,306.16577095558495,1.0069731635313093
beta_0,$\beta_{0}$ (time_in_hospital_z),1856.3132317033019,2300.997760627764,2012.7454673368295,1968.4359849066298,2034.6231111436311,1.0003122630353667
beta_1,$\beta_{1}$ (num_lab_procedures_z),2649.4892508127828,2534.4528770286042,2264.7583884587725,2134.151133317857,2395.712912404504,1.0000689849685378
beta_2,$\beta_{2}$ (num_procedures_z),2221.5790400921255,2004.76837175785,2146.027790638322,2117.2889312297802,2122.4160334295193,1.0007601457564912
beta_3,$\beta_{3}$ (num_medications_z),1864.9128338127166,1684.5198387058504,1536.524048049922,1611.764758630859,1674.430369799837,1.0011898063129314
beta_4,$\beta_{4}$ (number_outpatient_z),3294.5055391826368,3224.658495918091,3479.7615721537336,3068.6887298585907,3266.903584278263,1.0000614605843718
beta_5,$\beta_{5}$ (number_emergency_z),2884.210612112801,2987.793914592615,2769.675519955041,3261.5256727052647,2975.80142984143,1.0001237854175942
beta_6,$\beta_{6}$ (number_inpatient_z),2758.4875619048394,2672.0343302787137,2765.3414850769686,2680.3084115003094,2719.0429471902075,1.0002674355569006
beta_7,$\beta_{7}$ (number_diagnoses_z),1937.5041032854201,2058.2343156051693,2138.933156176425,1865.3376828069029,2000.0023144684794,1.0005383461082058
beta_8,$\beta_{8}$ (age_numeric_z),2405.960784681932,1904.3033832743454,1865.4265987338729,2282.703492695536,2114.5985648464216,1.0006177349876793
beta_9,$\beta_{9}$ (n_comorbid_groups_z),172.69494733819033,241.5481026060089,275.7436320462335,314.0716660169169,251.0145870018374,1.0088448609381486
beta_10,$\beta_{10}$ (female),1329.2232597017285,1705.0513678060174,1426.7589619106752,1444.1976729646333,1476.3078155957635,0.9999419081185299
beta_11,$\beta_{11}$ (race_AfricanAmerican),2063.895495332857,2400.108856407747,2254.415705796383,2307.687975433242,2256.5270082425577,1.0000093255609803
beta_12,$\beta_{12}$ (race_Asian),3350.4253065477988,3276.51810888237,2985.221963034092,3585.117425590297,3299.3207010136393,0.9999123950185932
beta_13,$\beta_{13}$ (race_Hispanic),3434.841894352317,3307.857083803047,3459.9894887222267,3230.162096425496,3358.212640825772,1.0002269607597642
beta_14,$\beta_{14}$ (race_Other),3259.4591800627372,3266.642730129776,3152.1393428037145,3507.847993039992,3296.522311509055,1.0001485060039375
beta_15,$\beta_{15}$ (race_Unknown),3045.1429394307047,3370.3380779448494,3399.010901009323,3058.969566412142,3218.3653711992547,1.0000696531404394
beta_16,$\beta_{16}$ (diag1_Diabetes),616.8981138382087,849.0735951119722,827.7447700064525,1047.6831770327915,835.3499139973562,1.0024381081807077
beta_17,$\beta_{17}$ (diag1_Digestive),712.5002775907798,629.0484836593039,834.6436578779645,646.9235727188557,705.778997961726,1.0015088054490164
beta_18,$\beta_{18}$ (diag1_Endocrine_Other),1093.0241504260187,928.907455783384,727.9983991851657,959.4527749980446,927.3456950981531,1.0019868649561219
beta_19,$\beta_{19}$ (diag1_Genitourinary),1051.6090462336156,1372.732545619485,728.5922493292562,1016.1340625279335,1042.2669759275727,1.0010386164455503
beta_20,$\beta_{20}$ (diag1_Infectious),1296.0760900911823,1028.7146237034917,925.3452994553704,1292.818876235847,1135.738722371473,1.0007806689706458
beta_21,$\beta_{21}$ (diag1_Injury),321.2536692345482,370.68162399716664,421.39890587156486,460.2485307343542,393.3956824594085,1.0057821308179087
beta_22,$\beta_{22}$ (diag1_Mental),946.1466170613323,822.0617620558385,965.8621734392422,852.8226062218948,896.723289694577,1.001105363146612
beta_23,$\beta_{23}$ (diag1_Musculoskeletal),395.5882715634822,400.79176612206976,533.489896024909,652.0562983801866,495.48155802266183,1.0052354437386648
beta_24,$\beta_{24}$ (diag1_Neoplasms),709.0521941977652,1135.545680530014,1060.1823289375318,910.4245685335422,953.8011930497133,1.0008618788240113
beta_25,$\beta_{25}$ (diag1_Other),1075.2914042585883,1236.7289353823965,962.1440547284149,1282.698625431812,1139.2157549503029,1.0008197126163851
beta_26,$\beta_{26}$ (diag1_Respiratory),1235.9908991506074,944.2651905834277,1101.2837589608978,1181.8020630778594,1115.8354779431982,1.0007764121579557
beta_27,$\beta_{27}$ (diag1_Skin),738.4321021160762,693.5724461672706,713.3029184444182,823.0678681534434,742.0938337203022,1.002602572525395
beta_28,$\beta_{28}$ (comorbid_circulatory),117.56096038925519,259.5630047099836,212.27705932282205,275.09638364715215,216.12435201730324,1.0132367946027707
beta_29,$\beta_{29}$ (comorbid_diabetes),203.41593111613022,366.347601803212,369.42192250636043,328.6948147712224,316.97006754923126,1.0064062578175441
beta_30,$\beta_{30}$ (comorbid_digestive),560.7693328840833,565.1042485495099,645.8722158413165,458.7832448365574,557.6322605278668,1.0008218538537097
beta_31,$\beta_{31}$ (comorbid_genitourinary),417.4479789782135,545.2624132524019,589.5811818023385,552.5587330460571,526.2125767697528,1.0046251406828348
beta_32,$\beta_{32}$ (comorbid_infectious),763.2539783971328,876.9327692043158,938.755317807963,975.7784831462093,888.6801371389051,1.002128151717876
