parameter,post_mean,post_sd,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
alpha (intercept),-2.534312962813367,0.14646959617999022,-2.823961182602147,-2.2506678863626153,0.07931619372418983,0.05937029970629947,0.10532885335974823
time_in_hospital_z,0.08771835901792666,0.02061606642316795,0.04730810082416327,0.1278545753546311,1.0916806167261772,1.048444986086663,1.136387731897215
num_lab_procedures_z,-0.01113720175685585,0.020862658257321896,-0.05154015881749372,0.03012743844057958,0.9889245872762533,0.9497655077366443,1.030585861840345
num_procedures_z,-0.04828458976514206,0.0214810512531379,-0.09052686487489699,-0.006073232470192673,0.9528625735510188,0.9134497938568851,0.9939451723284032
num_medications_z,0.0709136863194043,0.023849733200570114,0.02386790079435597,0.11734535018892044,1.073488565120337,1.0241550188899213,1.1245077115907043
number_outpatient_z,0.00080680911597415,0.017115133565060073,-0.033872791215140814,0.033644396295756045,1.0008071346739975,0.966694468844989,1.0342167700155365
number_emergency_z,0.029265226740591534,0.014401538742034545,0.0004932488935728975,0.057465796871699386,1.0296976616157614,1.0004933705608117,1.059149043824565
number_inpatient_z,0.20074044290587867,0.013152620429781964,0.1750511334195639,0.22688357648082935,1.2223074720708342,1.1913071306623146,1.2546837847350187
number_diagnoses_z,0.15434924250748314,0.022500598315119535,0.1105091171740537,0.19875640359407784,1.1668983461276152,1.1168465314899194,1.2198847701577853
age_numeric_z,0.1650748333658578,0.0216073577222341,0.12318506221396053,0.20751869962365754,1.1794813799705357,1.1310937242886359,1.2306207287694277
n_comorbid_groups_z,-0.011213475435819308,0.031023283758112523,-0.07330581420249833,0.04877730611810903,0.9888491612363116,0.9293165883541019,1.0499864991329084
female,0.023936597824327468,0.03632398798223007,-0.04653643268627972,0.09561517368224946,1.0242253777146428,0.9545297838523098,1.1003355444326148
race_AfricanAmerican,0.06316151963822057,0.04752207127006712,-0.028848944930114487,0.15555952532894662,1.0651988758743474,0.9715632129318036,1.168311478122522
race_Asian,0.001982029008180031,0.2026506065041096,-0.4100687551679826,0.38510469687310617,1.0019839945260314,0.6636046223204816,1.4697681935200935
race_Hispanic,-0.004086997947973263,0.12232442038170432,-0.24918338356316797,0.2305996582459442,0.9959213424618587,0.77943702433906,1.2593549661390129
race_Other,-0.021400574901783587,0.146464414014487,-0.3167531445394414,0.2542343502691095,0.9788267925812744,0.7285105697428942,1.2894739574305174
race_Unknown,0.0188318284993968,0.1259699801589497,-0.23094075250629864,0.25769208564357265,1.0190102657214362,0.7937864945024028,1.2939403344725462
diag1_Diabetes,-0.08307951802626985,0.08245659855353481,-0.2445162733524505,0.08010364872830505,0.9202779656230892,0.7830832448720335,1.083399354821022
